player,team,league,position,salary
"Joyce, Matt",Philadelphia Phillies,NL-East,OF,1500000
"Kintzler, Brandon",Philadelphia Phillies,NL-East,RP,3000000
"Knapp, Andrew",Philadelphia Phillies,NL-East,C,1100000
"McCutchen, Andrew",Philadelphia Phillies,NL-East,OF,20000000
"Miller, Brad",Philadelphia Phillies,NL-East,2B,3500000
"Moore, Matt",Philadelphia Phillies,NL-East,SP,3000000
"Neris, Hector",Philadelphia Phillies,NL-East,RP,5000000
"Nola, Aaron",Philadelphia Phillies,NL-East,SP,12250000
"Quinn, Roman",Philadelphia Phillies,NL-East,OF,578000
"Realmuto, J.T.",Philadelphia Phillies,NL-East,C,18048556
"Segura, Jean",Philadelphia Phillies,NL-East,2B,14250000
"Torreyes, Ronald",Philadelphia Phillies,NL-East,INF,800000
"Velasquez, Vince",Philadelphia Phillies,NL-East,RP,4000000
"Wheeler, Zack",Philadelphia Phillies,NL-East,SP,22500000
"Alford, Anthony",Pittsburgh Pirates,NL-Central,OF,582000
"Anderson, Tyler",Pittsburgh Pirates,NL-Central,SP,2500000
"Bednar, David",Pittsburgh Pirates,NL-Central,RP,579000
"Brault, Steven",Pittsburgh Pirates,NL-Central,SP,2050000
"Brubaker, J.T.",Pittsburgh Pirates,NL-Central,SP,590500
"Cahill, Trevor",Pittsburgh Pirates,NL-Central,RP,1500000
"Cederlind, Blake",Pittsburgh Pirates,NL-Central,RP,579000
"Crick, Kyle",Pittsburgh Pirates,NL-Central,RP,800000
"Crowe, Wil",Pittsburgh Pirates,NL-Central,SP,574000
"Davis, Austin",Pittsburgh Pirates,NL-Central,RP,588000
"Evans, Phillip",Pittsburgh Pirates,NL-Central,INF,650000
"Feliz, Michael",Pittsburgh Pirates,NL-Central,RP,1000000
"Fowler, Dustin",Pittsburgh Pirates,NL-Central,OF,575500
"Frazier, Adam",Pittsburgh Pirates,NL-Central,2B,4300000
"Gonzalez, Erik",Pittsburgh Pirates,NL-Central,SS,1225000
"Hayes, Ke'Bryan",Pittsburgh Pirates,NL-Central,3B,589500
"Holmes, Clay",Pittsburgh Pirates,NL-Central,RP,650000
"Howard, Sam",Pittsburgh Pirates,NL-Central,RP,596000
"Keller, Mitch",Pittsburgh Pirates,NL-Central,SP,579000
"Kuhl, Chad",Pittsburgh Pirates,NL-Central,SP,2130000
"Moran, Colin",Pittsburgh Pirates,NL-Central,1B,2800000
"Newman, Kevin",Pittsburgh Pirates,NL-Central,SS,598000
"Oviedo, Luis",Pittsburgh Pirates,NL-Central,RP,570500
"Perez, Michael",Pittsburgh Pirates,NL-Central,C,591500
"Polanco, Gregory",Pittsburgh Pirates,NL-Central,OF,11600000
"Ponce, Cody",Pittsburgh Pirates,NL-Central,SP,580500
"Reynolds, Bryan",Pittsburgh Pirates,NL-Central,OF,601000
"Rodriguez, Richard",Pittsburgh Pirates,NL-Central,RP,1700000
"Soriano, Jose",Pittsburgh Pirates,NL-Central,SP,570500
"Stallings, Jacob",Pittsburgh Pirates,NL-Central,C,1300000
"Stratton, Chris",Pittsburgh Pirates,NL-Central,RP,1100000
"Underwood Jr., Duane",Pittsburgh Pirates,NL-Central,RP,584500
"Adams, Austin",San Diego Padres,NL-West,RP,580200
"Altavilla, Dan",San Diego Padres,NL-West,RP,850000
"Baez, Michael",San Diego Padres,NL-West,RP,574200
"Campusano, Luis",San Diego Padres,NL-West,C,571100
"Caratini, Victor",San Diego Padres,NL-West,C,1300000
"Clevinger, Mike",San Diego Padres,NL-West,SP,3500000
"Crismatt, Nabil",San Diego Padres,NL-West,RP,585000
"Cronenworth, Jake",San Diego Padres,NL-West,2B,584900
"Darvish, Yu",San Diego Padres,NL-West,SP,23000000
"Grisham, Trent",San Diego Padres,NL-West,OF,589200
"Guerra, Javy",San Diego Padres,NL-West,RP,573100
"Hill, Tim",San Diego Padres,NL-West,RP,596000
"Hosmer, Eric",San Diego Padres,NL-West,1B,21000000
"Johnson, Pierce",San Diego Padres,NL-West,RP,2000000
"Kela, Keone",San Diego Padres,NL-West,RP,1200000
"Kim, Ha-Seong",San Diego Padres,NL-West,2B,5000000
"Lamet, Dinelson",San Diego Padres,NL-West,SP,4200000
"Machado, Manny",San Diego Padres,NL-West,3B,34000000
"Marcano, Tucupita",San Diego Padres,NL-West,OF,570500
"Mateo, Jorge",San Diego Padres,NL-West,OF,571800
"Melancon, Mark",San Diego Padres,NL-West,RP,2000000
"Morejon, Adrian",San Diego Padres,NL-West,SP,572900
"Musgrove, Joe",San Diego Padres,NL-West,SP,4450000
"Myers, Wil",San Diego Padres,NL-West,OF,22500000
"Nola, Austin",San Diego Padres,NL-West,C,571500
"Ona, Jorge",San Diego Padres,NL-West,OF,571100
"Paddack, Chris",San Diego Padres,NL-West,SP,610900
"Pagan, Emilio",San Diego Padres,NL-West,RP,1570000
"Pham, Tommy",San Diego Padres,NL-West,OF,8900000
"Pomeranz, Drew",San Diego Padres,NL-West,RP,8000000
"Profar, Jurickson",San Diego Padres,NL-West,OF,6000000
"Snell, Blake",San Diego Padres,NL-West,SP,10500000
"Stammen, Craig",San Diego Padres,NL-West,RP,4000000
"Strahm, Matt",San Diego Padres,NL-West,RP,2050000
"Tatis Jr., Fernando",San Diego Padres,NL-West,SS,1714286
"Weathers, Ryan",San Diego Padres,NL-West,RP,570700
"Williams, Taylor",San Diego Padres,NL-West,RP,577500
"Alvarez, Jose",San Francisco Giants,NL-West,RP,1150000
"Baragar, Caleb",San Francisco Giants,NL-West,RP,583000
"Belt, Brandon",San Francisco Giants,NL-West,1B,17200000
"Casali, Curtis",San Francisco Giants,NL-West,C,1500000
"Crawford, Brandon",San Francisco Giants,NL-West,SS,15200000
"Cueto, Johnny",San Francisco Giants,NL-West,SP,21000000
"DeSclafani, Anthony",San Francisco Giants,NL-West,SP,5929335
"Dickerson, Alex",San Francisco Giants,NL-West,OF,2100000
"Dubon, Mauricio",San Francisco Giants,NL-West,OF,583000
"Flores, Wilmer",San Francisco Giants,NL-West,3B,3000000
"Garcia, Jarlin",San Francisco Giants,NL-West,RP,950000
"Gausman, Kevin",San Francisco Giants,NL-West,SP,18900000
"La Stella, Tommy",San Francisco Giants,NL-West,1B,2000000
"Longoria, Evan",San Francisco Giants,NL-West,3B,16500000
"McGee, Jake",San Francisco Giants,NL-West,RP,2000000
"Moronta, Reyes",San Francisco Giants,NL-West,RP,695000
"Peralta, Wandy",San Francisco Giants,NL-West,RP,925000
"Posey, Buster",San Francisco Giants,NL-West,C,22177778
"Rogers, Tyler",San Francisco Giants,NL-West,RP,583000
"Ruf, Darin",San Francisco Giants,NL-West,1B,1275000
"Sanchez, Aaron",San Francisco Giants,NL-West,SP,4000000
"Slater, Austin",San Francisco Giants,NL-West,OF,1150000
"Solano, Donovan",San Francisco Giants,NL-West,2B,3250000
"Webb, Logan",San Francisco Giants,NL-West,SP,583000
"Wisler, Matt",San Francisco Giants,NL-West,RP,1150000
"Wood, Alex",San Francisco Giants,NL-West,SP,3000000
"Yastrzemski, Mike",San Francisco Giants,NL-West,OF,600000
"Crawford, J.P.",Seattle Mariners,AL-West,SS,2050000
"Dunn, Justin",Seattle Mariners,AL-West,SP,584900
"Flexen, Chris",Seattle Mariners,AL-West,SP,1700000
"Fraley, Jake",Seattle Mariners,AL-West,OF,572100
"France, Ty",Seattle Mariners,AL-West,3B,587800
"Giles, Ken",Seattle Mariners,AL-West,RP,1250000
"Gonzales, Marco",Seattle Mariners,AL-West,SP,5200000
"Graveman, Kendall",Seattle Mariners,AL-West,RP,1250000
"Haggerty, Sam",Seattle Mariners,AL-West,OF,574300
"Haniger, Mitch",Seattle Mariners,AL-West,OF,3010000
"Kikuchi, Yusei",Seattle Mariners,AL-West,SP,17000000
"Lewis, Kyle",Seattle Mariners,AL-West,OF,625000
"Long, Shed",Seattle Mariners,AL-West,OF,580500
"Margevicius, Nick",Seattle Mariners,AL-West,RP,586900
"Marmolejos, Jose",Seattle Mariners,AL-West,INF,575500
"Middleton, Keynan",Seattle Mariners,AL-West,RP,800000
"Misiewicz, Anthony",Seattle Mariners,AL-West,RP,578700
"Montero, Rafael",Seattle Mariners,AL-West,RP,2250000
"Moore, Dylan",Seattle Mariners,AL-West,2B,590400
"Murphy, Tom",Seattle Mariners,AL-West,C,875000
"Paxton, James",Seattle Mariners,AL-West,SP,8500000
"Sadler, Casey",Seattle Mariners,AL-West,RP,591800
"Seager, Kyle",Seattle Mariners,AL-West,3B,18500000
"Sheffield, Justus",Seattle Mariners,AL-West,SP,625000
"Steckenrider, Drew",Seattle Mariners,AL-West,RP,800000
"Torrens, Luis",Seattle Mariners,AL-West,C,580700
"Trammell, Taylor",Seattle Mariners,AL-West,OF,570500
"Vest, Will",Seattle Mariners,AL-West,RP,570500
"White, Evan",Seattle Mariners,AL-West,1B,1300000
"Arenado, Nolan",St. Louis Cardinals,NL-Central,3B,35000000
"Bader, Harrison",St. Louis Cardinals,NL-Central,OF,2000000
"Cabrera, Genesis",St. Louis Cardinals,NL-Central,RP,580900
"Carlson, Dylan",St. Louis Cardinals,NL-Central,OF,577100
"Carpenter, Matt",St. Louis Cardinals,NL-Central,3B,18500000
"Dean, Austin",St. Louis Cardinals,NL-Central,OF,583100
"DeJong, Paul",St. Louis Cardinals,NL-Central,SS,4166667
"Edman, Tommy",St. Louis Cardinals,NL-Central,2B,596000
"Flaherty, Jack",St. Louis Cardinals,NL-Central,SP,3900000
"Gallegos, Giovanny",St. Louis Cardinals,NL-Central,RP,594500
"Gant, John",St. Louis Cardinals,NL-Central,SP,2100000
"Goldschmidt, Paul",St. Louis Cardinals,NL-Central,1B,25333333
"Helsley, Ryan",St. Louis Cardinals,NL-Central,RP,582300
"Hicks, Jordan",St. Louis Cardinals,NL-Central,RP,862500
"Hudson, Dakota",St. Louis Cardinals,NL-Central,SP,595700
"Kim, Kwang Hyun",St. Louis Cardinals,NL-Central,SP,4000000
"Knizner, Andrew",St. Louis Cardinals,NL-Central,C,579200
"Martinez, Carlos",St. Louis Cardinals,NL-Central,SP,11700000
"Mikolas, Miles",St. Louis Cardinals,NL-Central,SP,17000000
"Miller, Andrew",St. Louis Cardinals,NL-Central,RP,12000000
"Molina, Yadier",St. Louis Cardinals,NL-Central,C,9000000
"Nogowski, John",St. Louis Cardinals,NL-Central,1B,571300
"O'Neill, Tyler",St. Louis Cardinals,NL-Central,OF,594700
"Ponce de Leon, Daniel",St. Louis Cardinals,NL-Central,RP,585500
"Reyes, Alex",St. Louis Cardinals,NL-Central,RP,900000
"Sosa, Edmundo",St. Louis Cardinals,NL-Central,INF,575900
"Wainwright, Adam",St. Louis Cardinals,NL-Central,SP,8000000
"Webb, Tyler",St. Louis Cardinals,NL-Central,RP,593000
"Williams, Justin",St. Louis Cardinals,NL-Central,OF,572000
"Woodford, Jake",St. Louis Cardinals,NL-Central,RP,578300
"Adames, Willy",Tampa Bay Rays,AL-East,SS,590000
"Anderson, Nick",Tampa Bay Rays,AL-East,RP,587800
"Archer, Chris",Tampa Bay Rays,AL-East,SP,6500000
"Arozarena, Randy",Tampa Bay Rays,AL-East,OF,581200
"Beeks, Jalen",Tampa Bay Rays,AL-East,RP,588800
"Brosseau, Michael",Tampa Bay Rays,AL-East,OF,586300
"Castillo, Diego",Tampa Bay Rays,AL-East,RP,582300
"Chirinos, Yonny",Tampa Bay Rays,AL-East,RP,1175000
"Choi, Ji-Man",Tampa Bay Rays,AL-East,1B,2450000
"Diaz, Yandy",Tampa Bay Rays,AL-East,3B,588900
"Drake, Oliver",Tampa Bay Rays,AL-East,RP,775000
"Fairbanks, Peter",Tampa Bay Rays,AL-East,RP,583800
"Glasnow, Tyler",Tampa Bay Rays,AL-East,SP,4000000
"Hill, Rich",Tampa Bay Rays,AL-East,SP,2500000
"Kiermaier, Kevin",Tampa Bay Rays,AL-East,OF,11666667
"Kittredge, Andrew",Tampa Bay Rays,AL-East,RP,750000
"Lowe, Brandon",Tampa Bay Rays,AL-East,2B,2500000
"Margot, Manuel",Tampa Bay Rays,AL-East,OF,3400000
"McHugh, Collin",Tampa Bay Rays,AL-East,RP,1800000
"Meadows, Austin",Tampa Bay Rays,AL-East,OF,581400
"Mejia, Francisco",Tampa Bay Rays,AL-East,C,580500
"Phillips, Brett",Tampa Bay Rays,AL-East,OF,584400
"Poche, Colin",Tampa Bay Rays,AL-East,RP,577800
"Reed, Cody",Tampa Bay Rays,AL-East,RP,581200
"Roe, Chaz",Tampa Bay Rays,AL-East,RP,1150000
"Sherriff, Ryan",Tampa Bay Rays,AL-East,RP,574800
"Springs, Jeffrey",Tampa Bay Rays,AL-East,RP,585000
"Thompson, Ryan",Tampa Bay Rays,AL-East,RP,577200
"Tsutsugo, Yoshi",Tampa Bay Rays,AL-East,1B,7000000
"Wacha, Michael",Tampa Bay Rays,AL-East,SP,3000000
"Wendle, Joey",Tampa Bay Rays,AL-East,3B,2250000
"Yarbrough, Ryan",Tampa Bay Rays,AL-East,SP,2300000
"Zunino, Mike",Tampa Bay Rays,AL-East,C,2000000
"Allard, Kolby",Texas Rangers,AL-West,RP,584250
"Arihara, Kohei",Texas Rangers,AL-West,SP,2600000
"Benjamin, Wes",Texas Rangers,AL-West,RP,574500
"Burke, Brock",Texas Rangers,AL-West,SP,572500
"Bush, Matt",Texas Rangers,AL-West,RP,680000
"Calhoun, Willie",Texas Rangers,AL-West,OF,593000
"Cody, Kyle",Texas Rangers,AL-West,RP,573500
"Culberson, Charlie",Texas Rangers,AL-West,INF,1500000
"Dahl, David",Texas Rangers,AL-West,OF,2700000
"Davis, Khris",Texas Rangers,AL-West,DH,16750000
"de Geus, Brett",Texas Rangers,AL-West,RP,570500
"Dunning, Dane",Texas Rangers,AL-West,SP,572500
"Evans, Demarcus",Texas Rangers,AL-West,RP,571500
"Foltynewicz, Mike",Texas Rangers,AL-West,SP,2000000
"Gallo, Joey",Texas Rangers,AL-West,OF,6200000
"Gibson, Kyle",Texas Rangers,AL-West,SP,9666667
"Guzman, Ronald",Texas Rangers,AL-West,1B,606000
"Hearn, Taylor",Texas Rangers,AL-West,RP,582500
"Heim, Jonah",Texas Rangers,AL-West,C,574000
"Hernandez, Jonathan",Texas Rangers,AL-West,RP,587500
"Holt, Brock",Texas Rangers,AL-West,INF,1750000
"Huff, Sam",Texas Rangers,AL-West,C,572000
"Kennedy, Ian",Texas Rangers,AL-West,RP,2150000
"Kiner-Falefa, Isiah",Texas Rangers,AL-West,SS,2000000
"King, John",Texas Rangers,AL-West,RP,572500
"Leclerc, Jose",Texas Rangers,AL-West,RP,4500000
"Lowe, Nate",Texas Rangers,AL-West,1B,575000
"Lyles, Jordan",Texas Rangers,AL-West,SP,8000000
"Martin, Brett",Texas Rangers,AL-West,RP,589500
"Rodriguez, Joely",Texas Rangers,AL-West,RP,2500000
"Sborz, Josh",Texas Rangers,AL-West,RP,573500
"Solak, Nick",Texas Rangers,AL-West,2B,586000
"Taveras, Leody",Texas Rangers,AL-West,OF,574000
"Trevino, Jose",Texas Rangers,AL-West,C,584000
"White, Eli",Texas Rangers,AL-West,OF,572500
"Bichette, Bo",Toronto Blue Jays,AL-East,SS,587800
"Biggio, Cavan",Toronto Blue Jays,AL-East,3B,604000
"Borucki, Ryan",Toronto Blue Jays,AL-East,RP,595200
"Chatwood, Tyler",Toronto Blue Jays,AL-East,RP,3000000
"Davis, Jonathan",Toronto Blue Jays,AL-East,OF,579800
"Dolis, Rafael",Toronto Blue Jays,AL-East,RP,1500000
"Grichuk, Randal",Toronto Blue Jays,AL-East,OF,10333333
"Guerrero Jr., Vladimir",Toronto Blue Jays,AL-East,OF,605400
"Gurriel, Lourdes",Toronto Blue Jays,AL-East,OF,3928571
"Hatch, Thomas",Toronto Blue Jays,AL-East,SP,584800
"Hernandez, Teoscar",Toronto Blue Jays,AL-East,OF,4325000
"Jansen, Danny",Toronto Blue Jays,AL-East,C,601800
"Kirk, Alejandro",Toronto Blue Jays,AL-East,C,573500
"Matz, Steven",Toronto Blue Jays,AL-East,SP,5200000
"Mayza, Tim",Toronto Blue Jays,AL-East,RP,600000
"Merryweather, Julian",Toronto Blue Jays,AL-East,RP,578400
"Panik, Joe",Toronto Blue Jays,AL-East,2B,1850000
"Payamps, Joel",Toronto Blue Jays,AL-East,RP,580000
"Pearson, Nate",Toronto Blue Jays,AL-East,SP,577500
"Phelps, David",Toronto Blue Jays,AL-East,RP,1750000
"Ray, Robbie",Toronto Blue Jays,AL-East,SP,8000000
"Roark, Tanner",Toronto Blue Jays,AL-East,SP,12000000
"Romano, Jordan",Toronto Blue Jays,AL-East,RP,584000
"Ryu, Hyun-Jin",Toronto Blue Jays,AL-East,SP,20000000
"Semien, Marcus",Toronto Blue Jays,AL-East,2B,18000000
"Springer, George",Toronto Blue Jays,AL-East,OF,23666667
"Stripling, Ross",Toronto Blue Jays,AL-East,SP,3000000
"Tellez, Rowdy",Toronto Blue Jays,AL-East,DH,598100
"Thornton, Trent",Toronto Blue Jays,AL-East,RP,592900
"Yates, Kirby",Toronto Blue Jays,AL-East,RP,5500000
"Zeuch, T.J.",Toronto Blue Jays,AL-East,SP,578000
"Avila, Alex",Washington Nationals,NL-East,C,1483059
"Avilan, Luis",Washington Nationals,NL-East,RP,950000
"Barrera, Tres",Washington Nationals,NL-East,C,571500
"Bell, Josh",Washington Nationals,NL-East,1B,6350000
"Castro, Starlin",Washington Nationals,NL-East,3B,7000000
"Clay, Sam",Washington Nationals,NL-East,RP,575000
"Corbin, Patrick",Washington Nationals,NL-East,SP,24416667
"Fedde, Erick",Washington Nationals,NL-East,RP,599200
"Finnegan, Kyle",Washington Nationals,NL-East,RP,582400
"Gomes, Yan",Washington Nationals,NL-East,C,6000000
"Hand, Brad",Washington Nationals,NL-East,RP,10120196
"Harris, Will",Washington Nationals,NL-East,RP,8000000
"Harrison, Josh",Washington Nationals,NL-East,2B,1000000
"Hernandez, Yadiel",Washington Nationals,NL-East,OF,572600
"Hudson, Daniel",Washington Nationals,NL-East,RP,6000000
"Lester, Jon",Washington Nationals,NL-East,SP,4786954
"Mercer, Jordy",Washington Nationals,NL-East,SS,1000000
"Perez, Hernan",Washington Nationals,NL-East,2B,750000
"Rainey, Tanner",Washington Nationals,NL-East,RP,589000
"Robles, Victor",Washington Nationals,NL-East,OF,614000
"Ross, Joe",Washington Nationals,NL-East,SP,1500000
"Scherzer, Max",Washington Nationals,NL-East,SP,34503480
"Schwarber, Kyle",Washington Nationals,NL-East,OF,7000000
"Soto, Juan",Washington Nationals,NL-East,OF,8500000
"Stevenson, Andrew",Washington Nationals,NL-East,OF,579100
"Strasburg, Stephen",Washington Nationals,NL-East,SP,32045256
"Suero, Wander",Washington Nationals,NL-East,RP,600700
"Turner, Trea",Washington Nationals,NL-East,SS,13000000
"Voth, Austin",Washington Nationals,NL-East,RP,587700
"Zimmerman, Ryan",Washington Nationals,NL-East,1B,1000000
